url,name,ticker
https://www.screener.in/company/id/1286017/,Riyaasat Life,id
https://www.screener.in/company/CUDML/,Cash UR Drive,CUDML
https://www.screener.in/company/BLBLIMITED/,BLB,BLBLIMITED
https://www.screener.in/company/CRAMC/,Canara Robeco,CRAMC
https://www.screener.in/company/INFY/consolidated/,Infosys,INFY
https://www.screener.in/company/544431/,ACE Alpha Tech,544431
https://www.screener.in/company/JUBLCPL/consolidated/,Jubilant Agri,JUBLCPL
https://www.screener.in/company/SAHANA/consolidated/,Sahana Systems,SAHANA
https://www.screener.in/company/524314/,Guj. Terce Labs.,524314
https://www.screener.in/company/GLENMARK/consolidated/,Glenmark Pharma.,GLENMARK
https://www.screener.in/company/544594/,Game Changers,544594
https://www.screener.in/company/526775/consolidated/,Valiant Commun.,526775
https://www.screener.in/company/PARTYCRUS/,Party Cruisers,PARTYCRUS
https://www.screener.in/company/ORIANA/consolidated/,Oriana Power Ltd,ORIANA
https://www.screener.in/company/NATIONALUM/consolidated/,Natl. Aluminium,NATIONALUM
https://www.screener.in/company/DPABHUSHAN/,D.P. Abhushan,DPABHUSHAN
https://www.screener.in/company/540756/,Kaarya Facilit.,540756
https://www.screener.in/company/GRCL/,Gayatri Rubbers,GRCL
https://www.screener.in/company/CUMMINSIND/consolidated/,Cummins India,CUMMINSIND
https://www.screener.in/company/MOBILISE/,Mobilise App,MOBILISE
https://www.screener.in/company/MPSLTD/consolidated/,MPS,MPSLTD
https://www.screener.in/company/KPEL/consolidated/,K.P. Energy,KPEL
https://www.screener.in/company/id/1286011/,Advit Jewels,id
https://www.screener.in/company/BUILDPRO/consolidated/,Shankara Buildpro,BUILDPRO
https://www.screener.in/company/500058/,Bihar Sponge,500058
https://www.screener.in/company/544636/,Western Overseas,544636
https://www.screener.in/company/544665/,Global Ocean,544665
https://www.screener.in/company/ITC/consolidated/,ITC,ITC
https://www.screener.in/company/MSUMI/,Motherson Wiring,MSUMI
https://www.screener.in/company/WAAREEENER/consolidated/,Waaree Energies,WAAREEENER
https://www.screener.in/company/543971/consolidated/,Bondada Engineer,543971
https://www.screener.in/company/VALUE360/consolidated/,Value 360 Commu.,VALUE360
https://www.screener.in/company/HYUNDAI/consolidated/,Hyundai Motor I,HYUNDAI
https://www.screener.in/company/544563/,Zelio E-Mobility,544563
https://www.screener.in/company/EUROPRATIK/consolidated/,Euro Pratik Sale,EUROPRATIK
